id,account_age,no_of_follower,no_of_following,no_user_fav,no_list,no_tweet,num_char,num_digit,num_url,num_hashtag,num_user_mention,num_rt,is_spam
178,3441,319,727,46215,6,16379,51,0,1,0,1,0,False
179,1612,481,241,16,9,275,14,0,1,3,0,0,False
180,2485,28,34,1,0,3825,8,0,1,0,0,0,False
181,2496,28,760,296,0,359,50,0,1,3,0,0,False
182,3159,6626,1203,1164,90,8189,44,0,1,2,0,0,False
183,2099,1139,1650,782,87,7617,44,0,1,2,0,0,False
184,1991,94,85,3907,0,6138,80,0,1,0,1,1,False
185,728,1189,1,1,215,1854709,56,4,1,0,0,0,False
186,537,963,3148,101923,11,135386,74,0,1,0,1,1,False
187,3329,132,296,3579,0,757,30,0,1,1,0,0,False
188,3403,13889,4625,7369,266,67100,72,0,1,0,0,1,False
189,448,65,187,20,1,1992,70,0,1,0,0,1,False
190,436,2072,755,69086,2,53216,73,3,0,0,1,1,False
191,1245,4492,5000,104794,7,18349,71,3,0,0,0,1,False
192,3287,18,90,11,0,53,69,0,1,0,1,0,False
193,951,12,277,1681,0,2040,64,0,2,0,0,0,False
194,3361,310,405,390,0,5133,61,0,1,0,0,0,False
195,2313,2046,5002,56968,14,76952,53,0,1,0,1,0,False
196,2211,1259,732,3467,9,21740,20,0,1,0,4,32,False
197,508,34,267,203,0,161,73,0,2,1,0,0,False
198,2289,2877,2499,58358,127,148400,53,0,1,0,1,0,False
199,1245,1564,2720,680,8,2023,96,0,1,0,0,0,False
200,2403,152969,342,3,1068,97465,32,2,2,0,0,0,False
201,3353,5843,3505,75,190,93598,20,4,1,0,0,0,False
202,2820,12315,11621,3744,24,9985,67,0,1,0,0,0,False
203,2474,13067,119,3461,11,7594,69,0,1,0,3,0,False
204,3333,37120,584,121,484,70652,82,0,1,2,0,1,False
